graphname,clust_min,clust_max,clust_mean,clust_stdev,clust_const,deg_min,deg_max,deg_mean,deg_stdev,deg_const,percent_pos,weight_min,weight_max,weight_mean,weight_stdev,weight_const,chromatic,disconnected,assortativity,avg_neighbor_deg_min,avg_neighbor_deg_max,avg_neighbor_deg_mean,avg_neighbor_deg_stdev,avg_neighbor_deg_const,avg_deg_conn_min,avg_deg_conn_max,avg_deg_conn_mean,avg_deg_conn_stdev,avg_deg_conn_const,core_min,core_max,core_mean,core_stdev,core_const,mis,clust_log_kurtosis,deg_log_kurtosis,weight_log_kurtosis,avg_neighbor_deg_log_kurtosis,avg_deg_conn_log_kurtosis,core_log_kurtosis,clust_log_abs_skew,deg_log_abs_skew,weight_log_abs_skew,avg_neighbor_deg_log_abs_skew,avg_deg_conn_log_abs_skew,core_log_abs_skew,clust_skew_positive,deg_skew_positive,weight_skew_positive,avg_neighbor_deg_skew_positive,avg_deg_conn_skew_positive,core_skew_positive,log_n,log_m,log_norm_ev1,log_norm_ev2,log_ev_ratio,clust_time,degree_time,ppos_time,weight_time,ev_time,chromatic_time,disconnected_time,assortativity_time,avg_neighbor_deg_time,avg_deg_conn_time,core_time,mis_time
g002930.zip,0.519849,0.877277,0.686443,0.142685,0,0.25025,0.96997,0.500501,0.224813,0,1,1,1,1,0,1,0.15,0,-0.397017,0.496665,0.762869,0.645448,0.102676,0,0.496665,0.762869,0.580243,0.0828438,0,0.25025,0.321321,0.309636,0.0149248,0,0.5,0.835846,1.03577,0,0.747883,1.44481,1.38006,0.309328,0.428672,0,0.0671025,0.85826,0.699597,1,1,1,0,1,0,6.90776,12.4292,5.81517,1.6328,4.18238,0.024996,1.9e-05,0.000427,0.004073,0.019992,0.001674,0.380569,0.016778,0.000833,0.004527,0.002175,0.000374
g002929.zip,0.456667,0.519048,0.496124,0.0171893,0,0.338983,0.610169,0.5,0.0638318,0,1,1,1,1,0,1,0.216667,0,-0.0255279,0.489885,0.526161,0.508394,0.00780449,0,0.502018,0.526161,0.510157,0.0060752,0,0.338983,0.40678,0.40452,0.010926,0,0.133333,1.28737,1.26291,0,1.27802,1.65515,3.3724,0.496434,0.196525,0,0.00162448,0.850202,1.8074,0,0,1,0,1,0,4.09434,6.78559,2.60904,-0.601055,3.21009,4.1e-05,3e-06,1e-06,1.3e-05,4.5e-05,1.4e-05,5e-05,1.8e-05,9e-06,1.9e-05,1.1e-05,5e-06
g002928.zip,0.682606,0.710721,0.696917,0.0072857,0,0.537546,0.786369,0.68016,0.0392194,0,1,1.17362e-09,1,0.0546352,0.0546183,0,0.249504,0,0.996748,0.677386,0.687334,0.682432,0.00241147,0,0.678053,0.686841,0.680923,0.0020148,0,0.537546,0.551177,0.55031,0.0020553,0,0.00099108,1.27738,1.86871,2.3025,1.05398,1.26104,1.95221,0.134572,0.580929,1.09822,0.107646,0.562986,1.13403,0,0,1,0,1,0,8.30301,15.5272,0.452571,-5.23712,5.68969,0.679286,7.6e-05,0.016713,0.18844,0.50513,0.092103,55.3521,0.229941,0.034805,0.201381,0.063976,0.000324
g002927.zip,0,0,0,0,1,0.004329,0.017316,0.00955366,0.00341137,0,1,0.000323081,1,0.0367088,0.0886831,0,0.012931,0,0.139798,0.00649351,0.017316,0.0107417,0.00245158,0,0.010101,0.0133806,0.0114923,0.00123867,0,0.004329,0.00865801,0.00656814,0.00216321,0,0.508621,0,1.27259,4.66157,1.38037,1.02348,0.695525,0,0.180978,2.38263,0.472436,0.390013,0.0667298,1,1,1,1,1,0,5.44674,5.54518,10.1074,9.65266,0.454695,1.8e-05,7e-06,1e-06,5e-06,5.5e-05,2.1e-05,7e-06,1.1e-05,9e-06,9e-06,1.5e-05,1.6e-05
g002926.zip,0.190532,0.209799,0.200636,0.00490093,0,0.1518,0.256651,0.2,0.0157596,0,1,0.247588,1,0.328787,0.0555009,0,0.0546875,0,0.00509199,0.198119,0.205049,0.201236,0.00124797,0,0.198574,0.203367,0.201266,0.000585993,0,0.1518,0.169014,0.168836,0.00122893,0,0.0359375,1.27819,1.43002,3.48684,1.34684,2.51059,4.65345,0.0969658,0.188345,1.82347,0.0437215,0.589027,2.34169,1,1,1,1,0,0,6.46147,10.6188,8.51983,3.67701,4.84281,0.000545,1.8e-05,5.2e-05,0.000833,0.009885,0.000286,0.01671,0.000808,0.000156,0.000745,0.000247,5.3e-05
g002925.zip,0.180009,0.230055,0.205247,0.0115656,0,0.141066,0.260188,0.2,0.0220519,0,1,0.252396,1,0.478122,0.195653,0,0.071875,0,-0.00540717,0.194602,0.210216,0.202445,0.00264297,0,0.200554,0.205461,0.202658,0.00102946,0,0.141066,0.159875,0.159698,0.0013459,0,0.0625,1.44482,1.29622,1.2928,1.36504,1.37292,4.84297,0.267226,0.131127,0.582009,0.0981581,0.411989,2.42177,0,1,1,0,1,0,5.76832,9.23093,8.57258,4.58562,3.98696,0.000153,9e-06,1.4e-05,0.000202,0.000475,9.5e-05,0.001152,0.000202,4.4e-05,0.000189,8.2e-05,2.6e-05
g002924.zip,0.358854,0.365053,0.361433,0.00158904,0,0.327919,0.411168,0.361421,0.0118733,0,1,0.0951526,1,0.616264,0.191281,0,0.0892495,0,-0.0054195,0.360296,0.363544,0.361813,0.000504408,0,0.361091,0.362249,0.361782,0.000218662,0,0.327919,0.33198,0.331972,0.000147986,0,0.0172414,1.26513,1.42044,1.22236,1.35458,1.60086,6.41286,0.0236907,0.0893051,0.332363,0.0448857,0.582604,3.20915,1,1,0,1,0,0,6.89366,12.0754,7.08942,1.22016,5.86926,0.00395,1.7e-05,0.000314,0.011543,0.007645,0.00111,0.202164,0.003955,0.000597,0.011296,0.000946,9.1e-05
g002923.zip,0,0,0,0,1,0.25,0.25,0.25,0,1,1,1,1,1,0,1,0.16,0,0,0.25,0.25,0.25,0,1,0.25,0.25,0.25,0,1,0.25,0.25,0.25,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3.21888,4.31749,2.07944,0.640778,1.43866,1.2e-05,1e-06,1e-06,4e-06,1.2e-05,5e-06,3e-06,5e-06,6e-06,3e-06,3e-06,2e-06
g002922.zip,0.0399698,0.0646259,0.0514077,0.00677418,0,0.028028,0.0730731,0.0500501,0.00683325,0,1,0.1,1,0.548584,0.286815,0,0.019,0,-0.00204102,0.0476588,0.0543877,0.0509848,0.000931365,0,0.0497998,0.0518018,0.0509747,0.000314232,0,0.028028,0.038038,0.0379249,0.000699435,0,0.083,1.10667,1.36592,1.02014,1.45273,2.14033,4.63732,0.0534814,0.0943864,0.0107278,0.11751,0.442757,2.30661,1,1,1,0,0,0,6.90776,10.1266,5.82827,1.18972,4.63855,0.000293,2e-05,3.2e-05,0.000483,0.000857,0.000266,0.010782,0.000475,9.4e-05,0.000458,0.000223,8.3e-05
g002921.zip,0,0.0909091,0.0282848,0.0268558,0,0.00940439,0.0689655,0.0361481,0.0105635,0,1,0.270358,1,0.340957,0.0764548,0,0.021875,0,-0.0133339,0.0305643,0.0472832,0.0393099,0.00305473,0,0.038189,0.045977,0.0398958,0.00189155,0,0.00940439,0.0250784,0.0239616,0.00209841,0,0.2625,1.3153,1.345,3.01054,1.31381,2.02782,2.53184,0.545162,0.292405,1.60603,0.0334041,1.11646,1.23574,1,1,1,0,1,0,5.76832,7.52023,8.22557,5.16516,3.06042,3.3e-05,8e-06,2e-06,3e-05,0.000117,4.6e-05,6.7e-05,3.4e-05,1.5e-05,3.8e-05,3.3e-05,2.6e-05
g002920.zip,0.470301,0.960859,0.594731,0.103387,0,0.0840652,0.879548,0.43349,0.194182,0,0.922859,-0.0833306,1,0.458238,0.312695,0,0.241855,0,-0.265312,0.439966,0.805465,0.551864,0.0868009,0,0.439966,0.805465,0.550922,0.0919781,0,0.0840652,0.299875,0.276985,0.051968,0,0.327068,2.18694,1.24014,1.0299,1.5564,1.49035,1.9744,1.0984,0.36884,0.000609804,0.826216,0.79188,1.15062,1,1,0,1,1,0,6.68211,11.8339,7.7387,3.43744,4.30126,0.012624,1.5e-05,0.000185,0.010936,0.014572,0.001097,0.166449,0.01149,0.000478,0.002498,0.001387,0.00015
g002919.zip,0,1,0.144444,0.338114,0,0.0135135,0.121622,0.0338739,0.0212093,0,1,0.1,1,0.553191,0.309324,0,0.04,0,-0.101213,0.0202703,0.121622,0.0499196,0.0196497,0,0.042042,0.0592021,0.0475455,0.006192,0,0.0135135,0.027027,0.0223423,0.0064312,0,0.546667,1.87069,1.99143,0.96678,1.91764,1.16202,0.881794,1.13071,0.975861,0.000490963,0.921538,0.646036,0.497364,1,1,0,1,1,0,4.31749,4.54329,4.60504,2.91688,1.68816,1.4e-05,6e-06,1e-06,6e-06,1.9e-05,9e-06,4e-06,6e-06,6e-06,5e-06,7e-06,6e-06
g002918.zip,0.461538,0.461538,0.461538,0,1,0.5,0.5,0.5,0,1,1,1,1,1,0,1,0.344828,0,0,0.5,0.5,0.5,0,1,0.5,0.5,0.5,0,1,0.5,0.5,0.5,0,1,0.137931,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3.3673,5.31321,2.17137,-0.785238,2.95661,1.6e-05,2e-06,0,5e-06,1.5e-05,6e-06,8e-06,8e-06,3e-06,6e-06,3e-06,1e-06
g002916.zip,0.272683,0.347098,0.295705,0.0203504,0,0.114563,0.545388,0.202883,0.0928874,0,0.7035,-1,1,0.406999,0.913429,0,0.0368843,0,0.869979,0.227442,0.284005,0.24533,0.0099142,0,0.234816,0.272227,0.244718,0.00626426,0,0.114563,0.114563,0.114563,0,1,0.0152876,1.59852,1.87121,1.02752,1.91263,2.08622,0,0.909143,0.991572,0.637183,1.06033,1.08158,0,1,1,0,1,1,1,8.32385,14.3592,4.03599,-1.41356,5.44955,0.079632,0.0001,0.00267,0.052807,0.159572,0.018197,7.04914,0.065232,0.014171,0.063581,0.033905,0.000355
g002915.zip,0.459184,0.505098,0.490922,0.0118461,0,0.353535,0.626263,0.487677,0.0490098,0,0.502071,-1,1,0.00140845,0.586905,0,0.2,0,-0.0108097,0.478559,0.506205,0.49265,0.00522188,0,0.484589,0.498557,0.492286,0.00303585,0,0.353535,0.383838,0.382727,0.00471513,0,0.08,1.60153,1.49016,1.02667,1.44768,1.63662,3.43551,0.673136,0.35976,0.00520226,0.0852832,0.553456,1.80508,0,0,0,0,0,0,4.60517,7.78904,4.47711,2.81935,1.65776,7.6e-05,4e-06,3e-06,4.7e-05,0.000136,2.9e-05,0.000194,4.5e-05,1.3e-05,4.9e-05,2.4e-05,8e-06
g002914.zip,0.481893,0.482953,0.482391,0.000240922,0,0.461781,0.504653,0.482437,0.00635888,0,0.579298,-0.944286,1,0.0373274,0.186188,0,0.0893836,0,0.999832,0.482189,0.482791,0.482521,8.49434e-05,0,0.482353,0.48268,0.482521,3.76935e-05,0,0.461781,0.463942,0.463939,5.42916e-05,0,0.00199369,1.30129,1.37674,1.3868,1.36648,2.22538,6.59355,0.238971,0.032139,0.00160019,0.0591866,0.152101,3.26786,1,1,1,0,1,0,8.70268,15.9831,7.42589,1.34482,6.08107,0.741398,0.000134,0.029702,0.332003,0.791987,0.100437,90.6756,0.462406,0.061626,0.31998,0.065304,0.000608
g002913.zip,0,0.333333,0.0833333,0.144338,0,0.000390472,0.00156189,0.00111411,0.000311915,0,1,2.01296e-05,1,0.0316206,0.0381121,0,0.00156128,0,0.176138,0.00052063,0.00156189,0.00119029,0.000192881,0,0.00112918,0.00129016,0.00118948,6.10046e-05,0,0.000390472,0.000780945,0.000730802,0.000130633,0,0.442233,1.20397,1.47843,5.47035,1.57299,1.13575,1.93652,0.767652,0.549362,2.43869,0.528134,0.612199,1.16981,1,0,1,0,1,0,7.84854,8.20385,13.9753,11.9211,2.05426,8.5e-05,4.7e-05,5e-06,4.7e-05,0.000603,0.000235,9.8e-05,8.5e-05,6.4e-05,8.1e-05,0.000145,0.000188
g002912.zip,0,0.1,0.00416667,0.0199826,0,0.000608273,0.00790754,0.00235618,0.000446836,0,1,1e-05,1,0.0581068,0.233859,0,0.00243161,0,0.245705,0.00121655,0.00389294,0.00241435,0.000311696,0,0.00121655,0.00304136,0.00246228,0.000580642,0,0.000608273,0.00182482,0.00168061,0.000260427,0,0.423708,3.13738,3.64837,2.79014,2.4411,1.37757,1.33162,1.7205,1.15131,1.5643,0.577066,0.671785,0.825403,1,1,1,1,0,0,7.4055,8.06652,14.3323,12.3929,1.93946,6.2e-05,3.7e-05,4e-06,5.1e-05,0.000386,0.000141,7.5e-05,7.1e-05,4.2e-05,6.8e-05,9.5e-05,0.000143
g002911.zip,0,0.0261438,0.011078,0.00690479,0,0.00350175,0.0185093,0.01,0.00227302,0,0.498949,-1,1,-0.00210105,0.999998,0,0.005,0,0.0027561,0.00859805,0.0125063,0.0105157,0.000524186,0,0.0095256,0.0108862,0.0104632,0.000242402,0,0.00350175,0.0070035,0.00687669,0.000390784,0,0.1775,1.29109,1.39767,0.693156,1.45583,2.38003,3.06816,0.450664,0.169936,0.00419331,0.0614983,1.22816,1.59136,1,1,1,0,0,0,7.6009,9.90299,3.00334,-0.0380485,3.04139,0.000105,3.6e-05,2.6e-05,0.000363,0.001095,0.000365,0.009345,0.000451,0.000107,0.000372,0.000285,0.000191
g002910.zip,0.46878,0.708286,0.591971,0.0852607,0,0.274609,0.874546,0.45578,0.169547,0,1,1.17362e-09,1,0.054633,0.054619,0,0.093207,0,0.863369,0.458986,0.619291,0.535235,0.0552948,0,0.459203,0.619291,0.504799,0.0374003,0,0.274609,0.298625,0.297267,0.00344717,0,0.351185,0.881456,1.27985,2.30291,0.894747,2.00488,2.58352,0.307356,0.629372,1.09831,0.415764,1.11672,1.38327,1,1,1,1,1,0,8.75306,16.0271,1.25073,-4.16673,5.41746,0.859379,0.000108,0.026205,0.339056,0.656074,0.105608,102.751,0.44774,0.062951,0.326907,0.158566,0.024814
g002909.zip,0,0,0,0,1,0.3,0.4,0.327273,0.0445362,0,1,1,1,1,0,1,0.181818,0,-0.5,0.3,0.366667,0.336364,0.0331953,0,0.3,0.35,0.325,0.025,0,0.3,0.3,0.3,0,1,0.545455,0,1.11241,0,0.709676,0.693147,0,0,0.703405,0,0.167694,3.33067e-15,0,1,1,1,0,1,1,2.3979,2.89037,1.55008,0.902469,0.647615,1e-05,3e-06,0,1e-06,6e-06,3e-06,1e-06,3e-06,2e-06,5e-06,2e-06,1e-06
g002908.zip,0.0633333,0.208791,0.102812,0.0300214,0,0.0522088,0.168675,0.0975422,0.0199761,0,0.492095,-1,1,-0.0160935,0.587097,0,0.044,0,-0.00352825,0.0886044,0.112238,0.10164,0.00387389,0,0.0986049,0.103793,0.101579,0.00125469,0,0.0522088,0.0682731,0.0677108,0.00206505,0,0.14,2.29468,1.37726,1.02273,1.44405,1.39274,3.32315,1.19542,0.238075,0.0307306,0.0322738,0.35283,1.72384,1,1,1,0,0,0,5.52146,8.0183,5.24965,3.18702,2.06263,4.4e-05,6e-06,5e-06,5.4e-05,0.000167,4.9e-05,0.000153,5.1e-05,1.7e-05,5.9e-05,3.9e-05,1.9e-05
g002907.zip,0,0,0,0,1,0.000538358,0.00107672,0.000977911,0.000137905,0,1,0.005,1,0.289507,0.215867,0,0.00134553,0,0.349972,0.000672948,0.00107672,0.000990684,8.63058e-05,0,0.000889252,0.00102574,0.000947596,5.74542e-05,0,0.000538358,0.000538358,0.000538358,0,1,0.389397,0,1.25592,1.39947,1.32903,0.916291,0,0,0.633921,0.615669,0.561566,0.389373,0,1,0,1,0,1,1,8.2204,8.8173,8.94875,5.53501,3.41375,0.000128,6.5e-05,9e-06,0.000105,0.000856,0.000361,0.000198,0.000138,0.000104,0.000143,0.000271,0.00031
g002906.zip,0,0.166667,0.0643386,0.0653173,0,0.010101,0.171717,0.0573737,0.0263743,0,1,0.00977222,1,0.520004,0.276783,0,0.05,0,-0.0239141,0.043771,0.106061,0.0698063,0.0123095,0,0.0642424,0.0757576,0.0695412,0.00289901,0,0.010101,0.040404,0.0366667,0.0069477,0,0.37,0.9074,1.89165,1.08027,1.37519,1.36643,1.99637,0.251763,0.745047,0.0654571,0.320255,0.174045,1.08145,1,1,0,1,1,0,4.60517,5.64897,13.8508,11.7556,2.09513,1.7e-05,5e-06,0,6e-06,2.8e-05,1.3e-05,1e-05,1.1e-05,6e-06,9e-06,1e-05,8e-06
g002905.zip,0,0.333333,0.0222222,0.0831479,0,0.0126582,0.101266,0.0379747,0.01961,0,1,0.283388,1,0.416178,0.180181,0,0.05,0,0.0596847,0.0253165,0.101266,0.0481936,0.0129627,0,0.0423564,0.0586881,0.050157,0.00476548,0,0.0126582,0.0253165,0.0232595,0.00466973,0,0.4875,2.64415,1.59051,1.83601,2.20994,1.26611,1.6767,1.49837,0.677143,1.02719,0.922171,0.157817,1.04018,1,1,1,1,1,0,4.38203,4.78749,7.81913,6.37451,1.44462,1.5e-05,5e-06,0,4e-06,2.2e-05,1.1e-05,5e-06,7e-06,5e-06,6e-06,8e-06,7e-06
g002904.zip,0,0.0761905,0.0315862,0.0205687,0,0.00940439,0.0783699,0.0361481,0.0108616,0,1,0.269103,1,0.364192,0.105172,0,0.021875,0,0.014132,0.0282132,0.0501567,0.0393641,0.00335847,0,0.0373362,0.0438871,0.0395474,0.0013686,0,0.00940439,0.0250784,0.0241281,0.00214336,0,0.25625,1.29888,1.49405,2.42567,1.41798,1.94363,2.6554,0.271534,0.465994,1.33977,0.013168,0.878465,1.3545,1,1,1,1,1,0,5.76832,7.52023,8.27518,5.14493,3.13024,3.3e-05,7e-06,2e-06,3e-05,0.000109,4.7e-05,6.9e-05,3.3e-05,1.8e-05,3.8e-05,3.4e-05,2.5e-05
g002903.zip,0.545455,0.545455,0.545455,0,1,0.444444,0.444444,0.444444,0,1,1,1,1,1,0,1,0.392857,0,0,0.444444,0.444444,0.444444,0,1,0.444444,0.444444,0.444444,0,1,0.444444,0.444444,0.444444,0,1,0.107143,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3.3322,5.12396,2.14978,-0.405422,2.55521,1.5e-05,2e-06,0,4e-06,1.4e-05,7e-06,6e-06,8e-06,3e-06,5e-06,4e-06,1e-06
g002902.zip,0,0,0,0,1,0.0483871,0.0483871,0.0483871,0,1,0.501333,-1,1,0.00266667,0.999996,0,0.032,0,0,0.0483871,0.0483871,0.0483871,0,1,0.0483871,0.0483871,0.0483871,0,1,0.0483871,0.0483871,0.0483871,0,1,0.304,0,0,0.693161,0,0,0,0,0,0.00531918,0,0,0,1,1,0,1,1,1,4.82831,5.92693,2.17381,0.395242,1.77856,1.6e-05,4e-06,1e-06,9e-06,3.8e-05,1e-05,9e-06,1.1e-05,6e-06,9e-06,6e-06,5e-06
g002901.zip,0.0486212,0.127862,0.0891075,0.0218535,0,0.00683671,0.0759926,0.0424522,0.0185229,0,1,0.0900572,1,0.611368,0.191466,0,0.0097266,0,0.78247,0.0132387,0.0649921,0.0436433,0.016946,0,0.0151308,0.0644156,0.0440856,0.0165236,0,0.00683671,0.0431238,0.0309395,0.0117882,0,0.0920084,1.13609,1.03734,1.22387,1.04904,1.04858,1.14155,0.110546,0.212676,0.32304,0.305432,0.408434,0.468489,0,0,0,0,0,0,8.24381,12.6348,8.59546,4.14221,4.45324,0.010162,7.7e-05,0.000505,0.006249,0.034631,0.002598,0.20733,0.006463,0.009176,0.005567,0.010857,0.000464
g002900.zip,0,0,0,0,1,0.00083682,0.00334728,0.00291628,0.000521635,0,1,0.384615,1,0.681973,0.307519,0,0.00334448,0,0.206486,0.00167364,0.00334728,0.00298887,0.000308085,0,0.00257023,0.00307034,0.00287779,0.000185987,0,0.00083682,0.00167364,0.00167224,3.41915e-05,0,0.39214,0,1.35915,0.695404,1.6629,1.15108,6.39192,0,0.611964,0.0650538,0.720069,0.608544,3.23446,1,0,1,0,0,0,7.08674,7.64204,6.41156,2.90784,3.50373,4.4e-05,2.2e-05,2e-06,3.1e-05,0.000235,0.000107,4.4e-05,5.5e-05,3.3e-05,4.7e-05,7.6e-05,8.8e-05
g002899.zip,0.472973,0.530769,0.499721,0.0144449,0,0.392405,0.632911,0.5,0.056962,0,1,1,1,1,0,1,0.2125,0,0.00171648,0.491399,0.531262,0.506481,0.00650643,0,0.500646,0.51781,0.506691,0.00380386,0,0.392405,0.392405,0.392405,0,1,0.1,1.37294,1.20715,0,1.70889,1.73124,0,0.0408032,0.0828877,0,0.272569,0.765492,0,1,1,1,1,1,1,4.38203,7.36518,2.77123,-0.937544,3.70878,5.9e-05,4e-06,2e-06,2.2e-05,7.6e-05,2.1e-05,0.000108,3e-05,1e-05,3.2e-05,1.8e-05,6e-06
g002898.zip,0.861986,0.862452,0.862211,0.000117162,0,0.833824,0.890686,0.862228,0.00781608,0,1,0.473684,1,0.7367,0.166355,0,0.251347,0,0.999822,0.862082,0.862519,0.862299,7.03497e-05,0,0.862139,0.862397,0.862291,3.91494e-05,0,0.833824,0.837745,0.837741,9.63546e-05,0,0.00293974,1.21923,1.37164,1.02288,1.36933,1.99726,7.22106,0.00766026,0.0238848,0.000859376,0.0410889,0.785864,3.58442,0,0,1,1,0,0,7.6212,14.4005,7.12028,-0.604748,7.72503,0.253305,3.8e-05,0.002789,0.061743,0.162103,0.018978,11.0131,0.063523,0.006044,0.072944,0.00655,0.000197
g002897.zip,0.333333,0.861111,0.642909,0.154503,0,0,0.0653266,0.0347236,0.0121976,0,1,0.0609034,1,0.652257,0.237725,0,0.04,1,0.481857,0.0125628,0.053043,0.0370149,0.00779195,0,0.0216709,0.0479481,0.0368975,0.00786446,0,0,0.0351759,0.0244724,0.00638231,0,0.235,1.10812,1.35457,1.17972,1.35099,1.0561,1.74438,0.155405,0.247626,0.368816,0.323793,0.23733,0.601169,0,0,0,0,0,0,5.29832,6.53814,12.2413,9.7303,2.51103,2.2e-05,6e-06,1e-06,1.3e-05,5.9e-05,2.8e-05,2.2e-05,1.7e-05,1e-05,1.6e-05,2.1e-05,1.6e-05
g002896.zip,0,0.153846,0.0812533,0.0474679,0,0.0160643,0.0843373,0.0472289,0.0141411,0,1,0.200804,1,0.609245,0.230077,0,0.028,0,0.0391952,0.0346386,0.0658635,0.0512606,0.00522346,0,0.0473896,0.0592369,0.0515081,0.00259045,0,0.0160643,0.0321285,0.0286586,0.0030835,0,0.244,1.1194,1.2821,1.02746,1.48689,1.84306,1.88987,0.391289,0.151489,0.0052964,0.237052,0.722595,0.808239,0,1,0,0,1,0,5.52146,7.29302,6.33947,3.57453,2.76493,2.9e-05,6e-06,2e-06,3.4e-05,8.7e-05,3.6e-05,5.5e-05,3e-05,1.3e-05,3.1e-05,3e-05,2e-05
g002895.zip,0,0.333333,0.0208333,0.0731643,0,0.000360101,0.0014404,0.00105853,0.000270698,0,1,0.000139192,1,0.201719,0.167086,0,0.00143988,0,0.1707,0.000480134,0.0014404,0.0011181,0.000163703,0,0.00105205,0.00119083,0.00110765,5.29064e-05,0,0.000360101,0.000720202,0.000690647,9.88392e-05,0,0.431246,2.74284,1.55774,1.49042,1.60232,1.05594,2.42247,1.51633,0.556466,0.695445,0.490886,0.480234,1.39755,1,0,1,0,1,0,7.92949,8.31459,16.5281,13.2327,3.2954,9.7e-05,4.9e-05,6e-06,5.1e-05,0.000585,0.000248,0.000112,9e-05,7e-05,9e-05,0.000161,0.000195
g002894.zip,0,0.5,0.0555556,0.144871,0,0.0126582,0.126582,0.0506329,0.0216489,0,1,0.295455,1,0.505459,0.191789,0,0.05,0,-0.102002,0.0379747,0.101266,0.0608733,0.0123722,0,0.0531646,0.0664557,0.0596335,0.0037318,0,0.0126582,0.0379747,0.0344937,0.00692597,0,0.45,2.05736,1.51519,1.21309,1.67057,1.30439,1.87619,1.20777,0.479143,0.413595,0.613822,0.193713,1.05624,1,1,1,1,1,0,4.38203,5.07517,7.93982,6.14416,1.79567,1.4e-05,4e-06,1e-06,4e-06,2.2e-05,1.1e-05,6e-06,8e-06,5e-06,6e-06,8e-06,7e-06
g002893.zip,0,0,0,0,1,0.00218739,0.00218739,0.00218739,0,1,0.5,-1,1,0,1,0,0.000728863,0,0,0.00218739,0.00218739,0.00218739,0,1,0.00218739,0.00218739,0.00218739,0,1,0.00218739,0.00218739,0.00218739,0,1,0.5,0,0,0.693147,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7.91717,9.01578,3.75781,0.461545,3.29626,9.2e-05,4e-05,1.1e-05,0.000124,0.000658,0.000149,0.000135,0.000186,7.9e-05,0.000164,9.8e-05,0.000119
g002892.zip,0,0,0,0,1,0.25,0.25,0.25,0,1,1,1,1,1,0,1,0.16,0,0,0.25,0.25,0.25,0,1,0.25,0.25,0.25,0,1,0.25,0.25,0.25,0,1,0.44,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3.21888,4.31749,2.07944,0.63932,1.44012,1.4e-05,1e-06,1e-06,5e-06,1e-05,4e-06,3e-06,5e-06,3e-06,3e-06,3e-06,2e-06
g002891.zip,0.0522818,0.179193,0.102576,0.0317079,0,0.0117122,0.313162,0.0240272,0.0243045,0,0.737231,-0.911617,1,0.13174,0.207297,0,0.00696961,0,-0.123104,0.029276,0.0868253,0.0530554,0.01002,0,0.0313965,0.0614817,0.0426298,0.00784707,0,0.0117122,0.0122699,0.0122677,2.82322e-05,0,0.127126,1.28526,3.65879,1.38705,1.28286,1.06677,5.40292,0.45993,1.79632,0.00536838,0.205774,0.445782,2.70798,1,1,1,1,1,0,8.18507,11.9482,7.76882,3.43562,4.33319,0.00095,6.2e-05,0.000202,0.003004,0.015586,0.001665,0.143287,0.003662,0.000613,0.002816,0.009962,0.000353
g002890.zip,0,0.333333,0.0319444,0.0930348,0,0.00131839,0.00527357,0.00265763,0.00050147,0,1,1e-05,1,0.122961,0.328263,0,0.00263505,0,0.270209,0.00197759,0.00355966,0.00272391,0.000298351,0,0.00249311,0.00312369,0.00287312,0.000222951,0,0.00131839,0.00197759,0.00197411,4.77283e-05,0,0.393281,2.32259,2.30046,1.98491,1.39905,0.98984,5.24045,1.33868,0.912805,1.19316,0.406779,0.373332,2.68552,1,1,1,1,0,0,7.32515,8.02617,14.7226,12.1318,2.59081,6e-05,2.7e-05,4e-06,4.4e-05,0.000385,0.000136,7.5e-05,5.7e-05,4.1e-05,6.5e-05,9e-05,0.000102
g002889.zip,0,0.0727273,0.0229083,0.0233955,0,0.0125392,0.0658307,0.0361481,0.010118,0,1,0.259016,1,0.363615,0.106532,0,0.021875,0,-0.0166372,0.0304523,0.049373,0.0390336,0.00303971,0,0.0376176,0.049373,0.0394393,0.0024898,0,0.0125392,0.0250784,0.0242751,0.00200562,0,0.26875,1.06217,1.34556,2.21724,1.43052,2.71588,2.53241,0.36781,0.262719,1.2564,0.117484,1.49593,1.3514,1,1,1,1,1,0,5.76832,7.52023,8.28874,5.24099,3.04775,3.3e-05,7e-06,3e-06,2.9e-05,0.00011,4.6e-05,6.8e-05,3.4e-05,1.6e-05,3.8e-05,3.5e-05,2.4e-05
g002888.zip,0,1,0.1,0.25676,0,0.0116279,0.0465116,0.0310078,0.00927332,0,1,0.00993003,1,0.343055,0.217906,0,0.045977,0,0.095404,0.0174419,0.0426357,0.0335583,0.0055715,0,0.0324897,0.0352471,0.0335338,0.00112597,0,0.0116279,0.0232558,0.021251,0.00439232,0,0.448276,2.40947,1.39243,1.40545,1.52092,0.981072,1.6111,1.35456,0.524671,0.519564,0.666,0.421242,1.00593,1,0,1,0,1,0,4.46591,4.75359,16.489,14.7555,1.73348,1.5e-05,4e-06,1e-06,3e-06,2.2e-05,9e-06,4e-06,7e-06,6e-06,5e-06,7e-06,7e-06
