fname,n,m,comments
g000591.zip,900,1800,NAME: Toroidal Grid 2D random graph using rudy library in python. Weights computed via the uniform integer distribution. || COMMENT: Graph parameters: h=30; seed=-1; w=30 Weight distribution parameters: a=1.0; b=79.0; seed=1729. || TYPE: Random Graphs
g000592.zip,1000,87209,NAME: Powerlaw cluster random graph using networkx library in python. Weights computed via the exponential distribution. || COMMENT: Graph parameters: m=100; n=1000; p=0.3; seed=1729 Weight distribution parameters: lambda=34.31828883; seed=1729. || TYPE: Random Graphs
g000593.zip,510,87975,NAME: Regular random graph using networkx library in python. Weights computed via the pareto distribution. || COMMENT: Graph parameters: d=345; n=510; seed=1729 Weight distribution parameters: alpha=2.68721082614; seed=1729. || TYPE: Random Graphs
g000594.zip,250,31125,NAME: ising3.0-250_6666 || COMMENT: biqmac_all/mac/ising data set
g000595.zip,640,40896,"NAME: i640-141. || COMMENT: SECTION Comment, Name ""i640-141-PCST"", Creator ""Indaco Biazzo"" , Remark ""derived from Incidence graph by Cees Duin"""
g000596.zip,640,4135,"NAME: i640-213. || COMMENT: SECTION Comment, Name ""i640-213-PCST"", Creator ""Indaco Biazzo"" , Remark ""derived from Incidence graph by Cees Duin"""
g000597.zip,2500,3125,"NAME: e02. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000598.zip,797,1705,NAME: Planar random graph using rudy library in python. Weights computed via the triangular distribution. || COMMENT: Graph parameters: density=71.5285695849; seed=1729; size=797 Weight distribution parameters: low=-4.0; high=14.0; mode=0.848957529268; seed=1729. || TYPE: Random Graphs
g000599.zip,3037,431,NAME: Planar random graph using rudy library in python. Weights computed via the -1 with probability p and 1 with probability 1-p distribution. || COMMENT: Graph parameters: density=4.71057252775; seed=1729; size=3052 Weight distribution parameters: alpha=0.165584982509; seed=1729. || TYPE: Random Graphs
g000600.zip,450,16750,"NAME: le450_15d || COMMENT: c FILE:  le450_15d.col, c, c SOURCE: Craig Morgenstern (morgenst@riogrande.cs.tcu.edu), c, c DESCRIPTION: This is a Leighton graph as described in, c   F.T. Leighton., c   Journal of Research of the National Bureau of Standards,  , c   vol. 84, no. 6,  Nov-Dec 1979, pp 489-505., c, c , c Leighton graph, c data structure     : sparse, c graph gen seed     : 160056, c number of vertices : 450, c max number of edges: 50000, c number of classes  : 15, c a c m              : 8401 6859 252105, c clique vector      :     clique sz     num cliques, c                          ---------     -----------, c                                2          3118, c                                5           252, c                               10           157, c                               15            94, c Leighton's proof : 15 coloring, c, c           Graph Stats, c number of vertices  : 450, c nonisolated vertices: 450, c number of edges     : 16750, c edge density        : 0.165801, c max degree          : 138, c avg degree          : 74.44, c min degree          : 18"
g000601.zip,696,188286,NAME: Erdos Renyi random graph using networkx library in python. Weights computed via the gamma distribution. || COMMENT: Graph parameters: n=696; p=0.77844376103; seed=1729 Weight distribution parameters: alpha=11.5190329179; beta=1.31039436853; seed=1729. || TYPE: Random Graphs
g000602.zip,160,12720,"NAME: i160-224. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000603.zip,13,12,"NAME: es10fst12. || COMMENT: 33d32945 STP File, STP Format Version 1.00, Section Comment, Name    ""es10fst12"", Creator ""Martin Zachariasen, David Warme"", Remark  ""Reduced rectilinear graph from FST generator GeoSteiner"", End"
g000604.zip,40,240,"NAME: p54 || COMMENT: # graphs from a website, used for isomorphism testing. # http://funkybee.narod.ru/graphs.htm"
g000605.zip,640,960,"NAME: i640-005. || COMMENT: SECTION Comment, Name ""i640-005-PCST"", Creator ""Indaco Biazzo"" , Remark ""derived from Incidence graph by Cees Duin"""
g000606.zip,17,68,NAME: i70.txt || COMMENT: \f0\fs26 \cf0 #http://www.maths.gla.ac.uk/~es/srgraphs.html\
g000607.zip,1000,160000,NAME: Barabasi Albert random graph using networkx library in python. Weights computed via the constant distribution. || COMMENT: Graph parameters: m=200; n=1000; seed=1729 Weight distribution parameters: alpha=9.0; seed=1729. || TYPE: Random Graphs
g000609.zip,896,146929,NAME: GNP random graph using networkx library in python. Weights computed via the exponential distribution. || COMMENT: Graph parameters: n=896; p=0.366629101282; seed=1729 Weight distribution parameters: lambda=63.5272826476; seed=1729. || TYPE: Random Graphs
g000610.zip,957,1554,"NAME: msm3676. || COMMENT: 33d32945 STP File, STP Format Version  1.00, Section Comment, Name    ""MSM3676"", Creator ""Alexander Martin and Thorsten Koch"", Remark  ""Real world VLSI problem"", End"
g000611.zip,50,63,"NAME: b03. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000612.zip,2468,811438,NAME: Newman-Watts-Strogatz random graph using networkx library in python. Weights computed via the normal distribution. || COMMENT: Graph parameters: k=450; n=2468; p=0.460725758496; seed=1729 Weight distribution parameters: mu=11.459487595; sigma=46.2848685488; seed=1729. || TYPE: Random Graphs
g000613.zip,396,781,"NAME: wrp4-26. || COMMENT: 33d32945 STP File, STP Format Version  1.00, Section Comment, Name   ""wrp4-26.stp"", Remark ""Group Steiner Tree problem from VLSI wire routing"", End"
g000614.zip,880,2438,NAME: Planar random graph using rudy library in python. Weights computed via the uniform distribution. || COMMENT: Graph parameters: density=92.5601298086; seed=1729; size=880 Weight distribution parameters: a=-5.0; b=47.0; seed=1729. || TYPE: Random Graphs
g000615.zip,1000,2000,"NAME: D10-A. || COMMENT: SECTION Comments, Name ""D10-A"", Creator ""CRR01"", Problem ""Prize-Collecting Steiner Problem in Graphs"""
g000616.zip,118,160,"NAME: es50fst01. || COMMENT: 33d32945 STP File, STP Format Version 1.00, Section Comment, Name    ""es50fst01"", Creator ""Martin Zachariasen, David Warme"", Remark  ""Reduced rectilinear graph from FST generator GeoSteiner"", End"
g000617.zip,728,1456,NAME: Toroidal Grid 2D random graph using rudy library in python. Weights computed via the normal distribution. || COMMENT: Graph parameters: h=28; seed=-1; w=26 Weight distribution parameters: mu=13.0953287155; sigma=12.1625934112; seed=1729. || TYPE: Random Graphs
g000618.zip,126,700,NAME: Simplex random graph using rudy library in python. Weights computed via the constant distribution. || COMMENT: Graph parameters: dim=4; seed=-1; sum=5 Weight distribution parameters: alpha=6.0; seed=1729. || TYPE: Random Graphs
g000619.zip,49,67,"NAME: es20fst10. || COMMENT: 33d32945 STP File, STP Format Version 1.00, Section Comment, Name    ""es20fst10"", Creator ""Martin Zachariasen, David Warme"", Remark  ""Reduced rectilinear graph from FST generator GeoSteiner"", End"
g000620.zip,100,494,"NAME: gka_1d.txt || COMMENT: Processed from file bqpgka.txt from https://files.nyu.edu/jeb21/public/jeb/orlib/bqpinfo.html; Glover, Kochenberger, and Alidaee (1998) file 1d"
g000621.zip,100,4455,NAME: pw09_100.9 || COMMENT: biqmac_all/mac/rudy data set
g000622.zip,90,400,"NAME: pr_6c.txt || COMMENT: Processed from file bqpgka.txt from https://files.nyu.edu/jeb21/public/jeb/orlib/bqpinfo.html; Pardalos and Rogers (1989) file 6c, labeled as ""Barahona experiments"""
g000623.zip,500,50000,NAME: Watts-Strogatz random graph using networkx library in python. Weights computed via the triangular distribution. || COMMENT: Graph parameters: k=200; n=500; p=0.7; seed=1729 Weight distribution parameters: low=-1.0; high=12.0; mode=3.67428598469; seed=1729. || TYPE: Random Graphs
g000624.zip,2067,4134,NAME: Toroidal Grid 2D random graph using rudy library in python. Weights computed via the exponential distribution. || COMMENT: Graph parameters: h=53; seed=-1; w=39 Weight distribution parameters: lambda=57.3413375505; seed=1729. || TYPE: Random Graphs
g000625.zip,5695,476094,NAME: Erdos Renyi random graph using networkx library in python. Weights computed via the log normal distribution. || COMMENT: Graph parameters: n=5695; p=0.0294117636569; seed=1729 Weight distribution parameters: mu=-18.0524430918; sigma=2.39563313648; seed=1729. || TYPE: Random Graphs
g000626.zip,640,204480,"NAME: i640-325. || COMMENT: SECTION Comment, Name ""i640-325-PCST"", Creator ""Indaco Biazzo"", Remark ""derived from Incidence graph by Cees Duin"""
g000627.zip,100,464,NAME: bqp100_1.txt || COMMENT: Processed from file bqp100.txt from https://files.nyu.edu/jeb21/public/jeb/orlib/bqpinfo.html
g000628.zip,2814,404753,NAME: Erdos Renyi random graph using networkx library in python. Weights computed via the pareto distribution. || COMMENT: Graph parameters: n=2814; p=0.102396308703; seed=1729 Weight distribution parameters: alpha=2.84868947621; seed=1729. || TYPE: Random Graphs
g000629.zip,80,632,"NAME: i080-342. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000630.zip,1599,478939,NAME: Dense GNM random graph using networkx library in python. Weights computed via the exponential distribution. || COMMENT: Graph parameters: m=478939.0; n=1599; seed=1729 Weight distribution parameters: lambda=6.12107521859; seed=1729. || TYPE: Random Graphs
g000631.zip,320,480,"NAME: i320-102. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000632.zip,1000,5916,"NAME: g54.rud || COMMENT: instances generated by helmberg and rendl (2000) who used rudy, a machine independent graph generator by giovanni rinaldi to create 54 instances ranging from n=80 to 3000. they consist of toroidal, planar and random graphs with wieghts taking values -1 0 or 1. burer (2001) and festa et al (2002) used these graphs in their experiments"
g000633.zip,1343,2594,"NAME: wrp3-91. || COMMENT: 33d32945 STP File, STP Format Version  1.00, Section Comment, Name   ""wrp3-91.stp"", Remark ""Group Steiner Tree problem from VLSI wire routing"", End"
g000634.zip,320,1845,"NAME: i320-214. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000635.zip,330,3360,NAME: Simplex random graph using rudy library in python. Weights computed via the uniform integer distribution. || COMMENT: Graph parameters: dim=7; seed=-1; sum=4 Weight distribution parameters: a=-3.0; b=63.0; seed=1729. || TYPE: Random Graphs
g000636.zip,50,131,NAME: bqp50_5.txt || COMMENT: Processed from file bqp50.txt from https://files.nyu.edu/jeb21/public/jeb/orlib/bqpinfo.html
g000637.zip,100,4905,NAME: be100.4.sparse || COMMENT: biqmac_all/biq/be/ data set
g000638.zip,2818,4419,"NAME: alue6951. || COMMENT: 33d32945 STP File, STP Format Version  1.00, Section Comment, Name    ""ALUE6951"", Creator ""Alexander Martin and Thorsten Koch"", Remark  ""Real world VLSI problem"", End"
g000639.zip,640,4135,"NAME: i640-313. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000640.zip,160,320,"NAME: i160-231. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000641.zip,118,188,"NAME: es30fst15. || COMMENT: 33d32945 STP File, STP Format Version 1.00, Section Comment, Name    ""es30fst15"", Creator ""Martin Zachariasen, David Warme"", Remark  ""Reduced rectilinear graph from FST generator GeoSteiner"", End"
g000642.zip,320,480,"NAME: i320-201. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000643.zip,1000,5000,"NAME: D12-A. || COMMENT: SECTION Comments, Name ""D12-A"", Creator ""CRR01"", Problem ""Prize-Collecting Steiner Problem in Graphs"""
g000644.zip,10000,79778,"NAME: a10000RandGraph.3. || COMMENT: SECTION Comment, Name 	 ""n10000_l3.0_rand-graph"", Creator 	""Indaco Biazzo"", Remark"
g000645.zip,852,125244,NAME: Connected Newman-Watts-Strogatz random graph using networkx library in python. Weights computed via the weibull distribution. || COMMENT: Graph parameters: k=294; n=852; p=0.612924091574; seed=1729 Weight distribution parameters: alpha=7.89277813571; beta=18.8765029252; seed=1729. || TYPE: Random Graphs
g000646.zip,3244,1787444,NAME: Watts-Strogatz random graph using networkx library in python. Weights computed via the beta distribution. || COMMENT: Graph parameters: k=1102; n=3244; p=0.304794267962; seed=1729 Weight distribution parameters: alpha=9.0; beta=4.0; seed=1729. || TYPE: Random Graphs
g000648.zip,429,702,"NAME: gap1810. || COMMENT: 33d32945 STP File, STP Format Version  1.00, Section Comment, Name    ""GAP1810"", Creator ""Alexander Martin and Thorsten Koch"", Remark  ""Real world VLSI problem"", End"
g000649.zip,2500,62500,"NAME: e17. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000650.zip,18,20,"NAME: es10fst01. || COMMENT: 33d32945 STP File, STP Format Version 1.00, Section Comment, Name    ""es10fst01"", Creator ""Martin Zachariasen, David Warme"", Remark  ""Reduced rectilinear graph from FST generator GeoSteiner"", End"
g000651.zip,100,2475,NAME: pw05_100.8 || COMMENT: biqmac_all/mac/rudy data set
g000652.zip,21,105,NAME: i80.txt || COMMENT: \f0\fs26 \cf0 #http://www.maths.gla.ac.uk/~es/srgraphs.html\
g000653.zip,160,320,"NAME: i160-131. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000654.zip,2528,2432377,NAME: GNP random graph using networkx library in python. Weights computed via the triangular distribution. || COMMENT: Graph parameters: n=2528; p=0.76104263282; seed=1729 Weight distribution parameters: low=8.0; high=26.0; mode=23.4604453495; seed=1729. || TYPE: Random Graphs
g000655.zip,34,153,"NAME: p41 || COMMENT: # graphs from a website, used for isomorphism testing. # http://funkybee.narod.ru/graphs.htm"
g000656.zip,197,250,"NAME: kroA100fst. || COMMENT: 33d32945 STP File, STP Format Version 1.00, Section Comment, Name    ""kroA100fst"", Creator ""Martin Zachariasen, David Warme"", Remark  ""Reduced rectilinear graph from FST generator GeoSteiner"", End"
g000657.zip,2686,1034110,NAME: Watts-Strogatz random graph using networkx library in python. Weights computed via the constant distribution. || COMMENT: Graph parameters: k=771; n=2686; p=0.276697607184; seed=1729 Weight distribution parameters: alpha=4.0; seed=1729. || TYPE: Random Graphs
g000658.zip,17,68,"NAME: p6 || COMMENT: # graphs from a website, used for isomorphism testing. # http://funkybee.narod.ru/graphs.htm"
g000659.zip,545,64700,NAME: Erdos Renyi random graph using networkx library in python. Weights computed via the uniform distribution. || COMMENT: Graph parameters: n=545; p=0.436808638441; seed=1729 Weight distribution parameters: a=-7.0; b=22.0; seed=1729. || TYPE: Random Graphs
g000660.zip,320,480,"NAME: i320-004. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000661.zip,931,19110,NAME: Powerlaw cluster random graph using networkx library in python. Weights computed via the pareto distribution. || COMMENT: Graph parameters: m=910; n=931; p=0.630733305086; seed=1729 Weight distribution parameters: alpha=1.53909857447; seed=1729. || TYPE: Random Graphs
g000662.zip,80,120,"NAME: i080-302. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000663.zip,294,568,"NAME: wrp4-22. || COMMENT: 33d32945 STP File, STP Format Version  1.00, Section Comment, Name   ""wrp4-22.stp"", Remark ""Group Steiner Tree problem from VLSI wire routing"", End"
g000664.zip,640,204480,"NAME: i640-222. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000666.zip,160,2544,"NAME: i160-344. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000667.zip,807,261633,NAME: Fast GNP random graph using networkx library in python. Weights computed via the triangular distribution. || COMMENT: Graph parameters: n=807; p=0.803918441823; seed=1729 Weight distribution parameters: low=1.0; high=19.0; mode=18.0241815676; seed=1729. || TYPE: Random Graphs
g000668.zip,640,40896,"NAME: i640-141. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000669.zip,4714,10293,NAME: Planar random graph using rudy library in python. Weights computed via the uniform distribution. || COMMENT: Graph parameters: density=72.8162560392; seed=1729; size=4714 Weight distribution parameters: a=-5.0; b=31.0; seed=1729. || TYPE: Random Graphs
g000670.zip,2000,4000,NAME: Toroidal Grid 2D random graph using rudy library in python. Weights computed via the uniform integer distribution. || COMMENT: Graph parameters: h=100; seed=-1; w=20 Weight distribution parameters: a=-4.0; b=52.0; seed=1729. || TYPE: Random Graphs
g000671.zip,150,8817,NAME: be150.8.8.sparse || COMMENT: biqmac_all/biq/be/ data set
g000672.zip,2000,5765,"NAME: 2r222. || COMMENT: 33D32945 STP File, STP Format Version 1.0,  These had 4 arcs. Processed only 3"
g000673.zip,640,204480,"NAME: i640-321. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000674.zip,660,26815,NAME: Dense GNM random graph using networkx library in python. Weights computed via the gamma distribution. || COMMENT: Graph parameters: m=26815.0; n=660; seed=1729 Weight distribution parameters: alpha=12.4434281032; beta=1.69368760559; seed=1729. || TYPE: Random Graphs
g000675.zip,50,763,"NAME: pr_2c.txt || COMMENT: Processed from file bqpgka.txt from https://files.nyu.edu/jeb21/public/jeb/orlib/bqpinfo.html; Pardalos and Rogers (1989) file 2c, labeled as ""Barahona experiments"""
g000676.zip,640,1280,"NAME: i640-331. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000677.zip,17127,27352,"NAME: fnl4461fst. || COMMENT: 33d32945 STP File, STP Format Version 1.00, Section Comment, Name    ""fnl4461fst"", Creator ""Martin Zachariasen, David Warme"", Remark  ""Reduced rectilinear graph from FST generator GeoSteiner"", End"
g000678.zip,250,4100,"NAME: Random Shell random graph using networkx library in python. Weights computed via the gamma distribution. || COMMENT: Graph parameters: seed=1729; tuple=[(50,1000,0.1),(50,1000,0.1),(50,1000,0.1),(50,1000,0.1),(50,1000,0.1)] Weight distribution parameters: alpha=3.00092951279; beta=2.00924862965; seed=1729. || TYPE: Random Graphs"
g000680.zip,320,10208,"NAME: i320-045. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000681.zip,80,3160,"NAME: i080-225. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000682.zip,640,960,"NAME: i640-004. || COMMENT: SECTION Comment, Name ""i640-004-PCST"", Creator ""Indaco Biazzo"" , Remark ""derived from Incidence graph by Cees Duin"""
g000683.zip,5416,8042454,NAME: Dense GNM random graph using networkx library in python. Weights computed via the uniform distribution. || COMMENT: Graph parameters: m=8042454.0; n=5416; seed=1729 Weight distribution parameters: a=-9.0; b=77.0; seed=1729. || TYPE: Random Graphs
g000684.zip,500,1000,"NAME: C07-A. || COMMENT: SECTION Comments, Name ""C07-A"", Creator ""CRR01"", Problem ""Prize-Collecting Steiner Problem in Graphs"""
g000686.zip,450,16680,"NAME: le450_15c || COMMENT: c FILE:  le450_15c.col, c, c SOURCE: Craig Morgenstern (morgenst@riogrande.cs.tcu.edu), c, c DESCRIPTION: This is a Leighton graph as described in, c   F.T. Leighton., c   Journal of Research of the National Bureau of Standards,  , c   vol. 84, no. 6,  Nov-Dec 1979, pp 489-505., c, c , c Leighton graph, c data structure     : sparse, c graph gen seed     : 161712, c number of vertices : 450, c max number of edges: 50000, c number of classes  : 15, c a c m              : 8401 6859 252105, c clique vector      :     clique sz     num cliques, c                          ---------     -----------, c                                2          3118, c                                5           252, c                               10           157, c                               15            94, c Leighton's proof : 15 coloring, c, c           Graph Stats, c number of vertices  : 450, c nonisolated vertices: 450, c number of edges     : 16680, c edge density        : 0.165108, c max degree          : 139, c avg degree          : 74.13, c min degree          : 18"
g000687.zip,981,124435,NAME: Fast GNP random graph using networkx library in python. Weights computed via the uniform distribution. || COMMENT: Graph parameters: n=981; p=0.258482143773; seed=1729 Weight distribution parameters: a=-5.0; b=88.0; seed=1729. || TYPE: Random Graphs
g000688.zip,710,35868,NAME: GNP random graph using networkx library in python. Weights computed via the triangular distribution. || COMMENT: Graph parameters: n=710; p=0.142338993049; seed=1729 Weight distribution parameters: low=6.0; high=92.0; mode=75.3170278681; seed=1729. || TYPE: Random Graphs
g000689.zip,6995,18418379,NAME: Fast GNP random graph using networkx library in python. Weights computed via the constant distribution. || COMMENT: Graph parameters: n=6995; p=0.752760550078; seed=1729 Weight distribution parameters: alpha=1.0; seed=1729. || TYPE: Random Graphs
g000690.zip,320,640,"NAME: i320-331. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000691.zip,15,45,NAME: i50.txt || COMMENT: \f0\fs26 \cf0 #http://www.maths.gla.ac.uk/~es/srgraphs.html\
g000692.zip,100,495,NAME: pm1s_100.8 || COMMENT: biqmac_all/mac/rudy data set
g000693.zip,125,375,"NAME: sg3dl053000.mc || COMMENT: this set contains 30 instances described in festa et al (2002). the first 10 are small size instances with an average of 128 vertices and 300 edges, the second 10 are medium size graphs with 1000 vertices and density equal to 0.6% and the last 10 are large-size instances with 2744 vertices and density equal to 0.22%. the weights are either -1,0,1."
g000694.zip,544,63788,NAME: Powerlaw cluster random graph using networkx library in python. Weights computed via the triangular distribution. || COMMENT: Graph parameters: m=190; n=544; p=0.419411074107; seed=1729 Weight distribution parameters: low=4.0; high=34.0; mode=32.3215871831; seed=1729. || TYPE: Random Graphs
g000695.zip,2433,240867,NAME: Connected Newman-Watts-Strogatz random graph using networkx library in python. Weights computed via the beta distribution. || COMMENT: Graph parameters: k=198; n=2433; p=0.966306791931; seed=1729 Weight distribution parameters: alpha=10.0; beta=7.0; seed=1729. || TYPE: Random Graphs
g000696.zip,160,12720,"NAME: i160-121. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000697.zip,739,957,NAME: Planar random graph using rudy library in python. Weights computed via the weibull distribution. || COMMENT: Graph parameters: density=43.3286769321; seed=1729; size=739 Weight distribution parameters: alpha=18.3162824298; beta=8.271396924; seed=1729. || TYPE: Random Graphs
g000699.zip,20,30,"NAME: p7 || COMMENT: # graphs from a website, used for isomorphism testing. # http://funkybee.narod.ru/graphs.htm"
g000700.zip,945,222532,NAME: Newman-Watts-Strogatz random graph using networkx library in python. Weights computed via the uniform distribution. || COMMENT: Graph parameters: k=445; n=945; p=0.0607298975701; seed=1729 Weight distribution parameters: a=-10.0; b=17.0; seed=1729. || TYPE: Random Graphs
g000701.zip,501,87070,NAME: GNP random graph using networkx library in python. Weights computed via the pareto distribution. || COMMENT: Graph parameters: n=501; p=0.694748903961; seed=1729 Weight distribution parameters: alpha=3.52905737739; seed=1729. || TYPE: Random Graphs
g000702.zip,178,251,"NAME: es70fst15. || COMMENT: 33d32945 STP File, STP Format Version 1.00, Section Comment, Name    ""es70fst15"", Creator ""Martin Zachariasen, David Warme"", Remark  ""Reduced rectilinear graph from FST generator GeoSteiner"", End"
g000703.zip,160,812,"NAME: i160-013. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000705.zip,450,17343,"NAME: le450_25c || COMMENT: c FILE:  le450_25c.col, c, c SOURCE: Craig Morgenstern (morgenst@riogrande.cs.tcu.edu), c, c DESCRIPTION: This is a Leighton graph as described in, c   F.T. Leighton., c   Journal of Research of the National Bureau of Standards,  , c   vol. 84, no. 6,  Nov-Dec 1979, pp 489-505., c, c , c Leighton graph, c data structure     : sparse, c graph gen seed     : 247337, c number of vertices : 450, c max number of edges: 50000, c number of classes  : 25, c a c m              : 8401 6859 420175, c clique vector      :     clique sz     num cliques, c                          ---------     -----------, c                                2          3118, c                                7            94, c                               16            63, c                               25            31, c Leighton's proof : 25 coloring, c, c           Graph Stats, c number of vertices  : 450, c nonisolated vertices: 450, c number of edges     : 17343, c edge density        : 0.171670, c max degree          : 179, c avg degree          : 77.08, c min degree          : 7"
g000706.zip,659,11203,NAME: Regular random graph using networkx library in python. Weights computed via the -1 with probability p and 1 with probability 1-p distribution. || COMMENT: Graph parameters: d=34; n=659; seed=1729 Weight distribution parameters: alpha=0.899721070323; seed=1729. || TYPE: Random Graphs
g000707.zip,1000,3000,"NAME: sg3dl107000.mc || COMMENT: this set contains 30 instances described in festa et al (2002). the first 10 are small size instances with an average of 128 vertices and 300 edges, the second 10 are medium size graphs with 1000 vertices and density equal to 0.6% and the last 10 are large-size instances with 2744 vertices and density equal to 0.22%. the weights are either -1,0,1."
g000708.zip,1026,232708,NAME: Newman-Watts-Strogatz random graph using networkx library in python. Weights computed via the pareto distribution. || COMMENT: Graph parameters: k=235; n=1026; p=0.937750965421; seed=1729 Weight distribution parameters: alpha=2.87315437784; seed=1729. || TYPE: Random Graphs
g000709.zip,1199,2078,"NAME: msm1477. || COMMENT: 33d32945 STP File, STP Format Version  1.00, Section Comment, Name    ""MSM1477"", Creator ""Alexander Martin and Thorsten Koch"", Remark  ""Real world VLSI problem"", End"
g000710.zip,122,194,"NAME: taq0920. || COMMENT: 33d32945 STP File, STP Format Version  1.00, Section Comment, Name    ""TAQ0920"", Creator ""Alexander Martin and Thorsten Koch"", Remark  ""Real world VLSI problem"", End"
g000711.zip,150,3227,NAME: be150.3.9.sparse || COMMENT: biqmac_all/biq/be/ data set
g000712.zip,640,1280,"NAME: i640-134. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000713.zip,75,94,"NAME: b08. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000714.zip,500,12500,"NAME: C20-A. || COMMENT: SECTION Comments, Name ""C20-A"", Creator ""CRR01"", Problem ""Prize-Collecting Steiner Problem in Graphs"""
g000715.zip,665,97655,NAME: Fast GNP random graph using networkx library in python. Weights computed via the weibull distribution. || COMMENT: Graph parameters: n=665; p=0.44267047669; seed=1729 Weight distribution parameters: alpha=16.1033919522; beta=15.8209630929; seed=1729. || TYPE: Random Graphs
g000716.zip,1000,8067,"NAME: a1000RandGraph.1.2. || COMMENT: SECTION Comment, Name 	 ""n1000_l1.2_rand-graph"", Creator 	""Indaco Biazzo"", Remark"
g000717.zip,206,3540,"NAME: zeroin.i.3 || COMMENT: c File:  zeroin.i.3.col, c, c SOURCE: Gary Lewandowski (gary@cs.wisc.edu), c, c DESCRIPTION: Coloring problem generated from a register allocation, c              problem based on real code., c, c graph #3 from register allocation file zeroin.i"
g000718.zip,853,141373,NAME: Powerlaw cluster random graph using networkx library in python. Weights computed via the pareto distribution. || COMMENT: Graph parameters: m=231; n=853; p=0.682078801548; seed=1729 Weight distribution parameters: alpha=3.60840348859; seed=1729. || TYPE: Random Graphs
g000719.zip,862,178192,NAME: Barabasi Albert random graph using networkx library in python. Weights computed via the uniform distribution. || COMMENT: Graph parameters: m=344; n=862; seed=1729 Weight distribution parameters: a=-8.0; b=36.0; seed=1729. || TYPE: Random Graphs
g000720.zip,100,4455,NAME: pw09_100.2 || COMMENT: biqmac_all/mac/rudy data set
g000721.zip,1442,2403,"NAME: msm0709. || COMMENT: 33d32945 STP File, STP Format Version  1.00, Section Comment, Name    ""MSM0709"", Creator ""Alexander Martin and Thorsten Koch"", Remark  ""Real world VLSI problem"", End"
g000722.zip,70,720,"NAME: pr_4c.txt || COMMENT: Processed from file bqpgka.txt from https://files.nyu.edu/jeb21/public/jeb/orlib/bqpinfo.html; Pardalos and Rogers (1989) file 4c, labeled as ""Barahona experiments"""
g000723.zip,200,19900,NAME: ising2.5-200_7777 || COMMENT: biqmac_all/mac/ising data set
g000724.zip,80,3160,"NAME: i080-025. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000725.zip,510,13496,NAME: Powerlaw cluster random graph using networkx library in python. Weights computed via the beta distribution. || COMMENT: Graph parameters: m=482; n=510; p=0.898195279425; seed=1729 Weight distribution parameters: alpha=9.0; beta=4.0; seed=1729. || TYPE: Random Graphs
g000726.zip,6,9,"NAME: oddcycle3. || COMMENT: 33D32945 STP File, STP Format Version 1.0"
g000727.zip,3647,1509858,NAME: Connected Newman-Watts-Strogatz random graph using networkx library in python. Weights computed via the -1 with probability p and 1 with probability 1-p distribution. || COMMENT: Graph parameters: k=828; n=3647; p=0.418641721934; seed=1729 Weight distribution parameters: alpha=0.641696458698; seed=1729. || TYPE: Random Graphs
g000728.zip,6754,5639328,NAME: Barabasi Albert random graph using networkx library in python. Weights computed via the uniform integer distribution. || COMMENT: Graph parameters: m=976; n=6754; seed=1729 Weight distribution parameters: a=-1.0; b=44.0; seed=1729. || TYPE: Random Graphs
g000729.zip,142,181,"NAME: es70fst12. || COMMENT: 33d32945 STP File, STP Format Version 1.00, Section Comment, Name    ""es70fst12"", Creator ""Martin Zachariasen, David Warme"", Remark  ""Reduced rectilinear graph from FST generator GeoSteiner"", End"
g000730.zip,640,204480,"NAME: i640-321. || COMMENT: SECTION Comment, Name ""i640-321-PCST"", Creator ""Indaco Biazzo"" , Remark ""derived from Incidence graph by Cees Duin"""
g000731.zip,6114,6707058,NAME: Watts-Strogatz random graph using networkx library in python. Weights computed via the constant distribution. || COMMENT: Graph parameters: k=2194; n=6114; p=0.133028628266; seed=1729 Weight distribution parameters: alpha=1.0; seed=1729. || TYPE: Random Graphs
